image1,segmentation
/root/autodl-tmp/train/CTA/AI05_0203_01_0.8/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI05_0203_01_0.8/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI05_0085_01_0.62/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI05_0085_01_0.62/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI05_0177_01_0.7/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI05_0177_01_0.7/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI06_0066_01_0.8/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI06_0066_01_0.8/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI05_0055_02_0.62/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI05_0055_02_0.62/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI05_0179_01_0.62/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI05_0179_01_0.62/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI05_0031_01_0.7/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI05_0031_01_0.7/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI05_0261_01_0.33/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI05_0261_01_0.33/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI05_0039_01_1.0/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI05_0039_01_1.0/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI06_0013_01_0.8/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI06_0013_01_0.8/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI05_0039_02_0.62/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI05_0039_02_0.62/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI01_0039_E0P0D0_1.0/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI01_0039_E0P0D0_1.0/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI05_0294_01_0.7/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI05_0294_01_0.7/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI05_0114_01_0.62/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI05_0114_01_0.62/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI05_0308_01_0.7/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI05_0308_01_0.7/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI06_0002_02_0.8/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI06_0002_02_0.8/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI01_0058_E0P0D0_1.0/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI01_0058_E0P0D0_1.0/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI05_0343_01_0.7/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI05_0343_01_0.7/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI05_0336_01_1.0/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI05_0336_01_1.0/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI06_0075_01_0.8/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI06_0075_01_0.8/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI01_0028_E0P0D0_1.0/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI01_0028_E0P0D0_1.0/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI05_0074_01_1.0/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI05_0074_01_1.0/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI06_0081_01_0.8/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI06_0081_01_0.8/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI01_0050_E0P0D0_1.0/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI01_0050_E0P0D0_1.0/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI01_0083_E0P0D0_1.0/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI01_0083_E0P0D0_1.0/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI05_0103_01_0.62/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI05_0103_01_0.62/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI05_0103_02_0.7/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI05_0103_02_0.7/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI05_0043_03_0.6/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI05_0043_03_0.6/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI05_0043_01_0.6/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI05_0043_01_0.6/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI05_0069_01_0.45/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI05_0069_01_0.45/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI05_0077_01_1.0/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI05_0077_01_1.0/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI05_0012_03_0.75/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI05_0012_03_0.75/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI01_0099_E0P0D0_1.0/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI01_0099_E0P0D0_1.0/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI05_0088_01_0.62/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI05_0088_01_0.62/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI06_0065_02_0.8/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI06_0065_02_0.8/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI02_0011_E0P0D0_0.5/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI02_0011_E0P0D0_0.5/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI01_0034_E0P0D0_1.0/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI01_0034_E0P0D0_1.0/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI05_0225_01_0.5/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI05_0225_01_0.5/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI05_0255_01_0.62/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI05_0255_01_0.62/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI06_0020_02_0.8/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI06_0020_02_0.8/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI05_0025_01_0.7/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI05_0025_01_0.7/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI05_0340_01_0.6/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI05_0340_01_0.6/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI05_0090_03_0.62/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI05_0090_03_0.62/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI04_0007_E0P0D0_1.0/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI04_0007_E0P0D0_1.0/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI06_0055_04_0.8/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI06_0055_04_0.8/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI01_0043_E0P0D0_1.0/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI01_0043_E0P0D0_1.0/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI02_0001_E0P0D0_1.25/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI02_0001_E0P0D0_1.25/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI02_0013_E0P0D0_0.7/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI02_0013_E0P0D0_0.7/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI05_0237_01_1.0/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI05_0237_01_1.0/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI05_0096_02_0.7/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI05_0096_02_0.7/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI05_0207_01_1.0/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI05_0207_01_1.0/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI05_0113_01_0.62/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI05_0113_01_0.62/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI05_0153_01_1.0/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI05_0153_01_1.0/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI06_0087_01_0.8/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI06_0087_01_0.8/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI05_0252_01_0.75/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI05_0252_01_0.75/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI05_0177_02_0.7/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI05_0177_02_0.7/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI05_0104_01_0.62/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI05_0104_01_0.62/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI06_0080_01_0.8/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI06_0080_01_0.8/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI05_0064_01_1.0/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI05_0064_01_1.0/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI05_0267_01_1.0/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI05_0267_01_1.0/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI05_0105_01_0.62/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI05_0105_01_0.62/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI01_0044_E0P0D0_1.0/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI01_0044_E0P0D0_1.0/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI05_0006_04_0.7/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI05_0006_04_0.7/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI01_0090_E0P0D0_1.0/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI01_0090_E0P0D0_1.0/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI05_0311_03_0.33/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI05_0311_03_0.33/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI01_0065_E0P0D0_1.0/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI01_0065_E0P0D0_1.0/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI06_0084_01_0.8/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI06_0084_01_0.8/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI06_0059_01_0.8/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI06_0059_01_0.8/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI05_0114_03_1.0/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI05_0114_03_1.0/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI01_0069_E0P0D0_1.0/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI01_0069_E0P0D0_1.0/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI05_0114_02_0.45/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI05_0114_02_0.45/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI01_0045_E0P0D0_1.0/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI01_0045_E0P0D0_1.0/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI05_0256_01_0.62/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI05_0256_01_0.62/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI05_0292_01_1.0/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI05_0292_01_1.0/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI01_0088_E0P0D0_1.0/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI01_0088_E0P0D0_1.0/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI06_0016_01_0.8/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI06_0016_01_0.8/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI05_0325_01_0.45/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI05_0325_01_0.45/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI01_0056_E0P0D0_1.0/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI01_0056_E0P0D0_1.0/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI05_0286_02_1.0/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI05_0286_02_1.0/ao_mask.nii.gz
